,importance score
MAPKAPK2,0.00966260799903475
FCMR,0.00035078170623026864
PFKFB2,0.00031192799498624106
YOD1,0.0030187011720678447
CD55,0.025525415946419595
CR2,0.00038386243511072155
CR1,0.0025629457520937016
CD46,0.01783949886855225
MIR29B2CHG,0.010017911015899135
TRAF3IP3,0.006112474279472928
UTP25,0.003937475383663143
HHAT,0.00813617863760454
RCOR3,0.004621750679629898
TRAF5,0.006564114435216472
LPGAT1,0.0007603159764480079
INTS7,0.006913747316768061
PPP2R5A,0.00025000610929178736
AL360091.3,0.003975721900454127
PACC1,0.0024107907580118203
NENF,0.0024286826285342547
ATF3,0.026063596388624457
FAM71A,0.00899859757440963
NSL1,0.00017500589719754566
TATDN3,0.012810406306606355
FLVCR1,0.002733426511213363
ANGEL2,0.0014391965436071662
RPS6KC1,6.056700865849299e-06
SMYD2,0.0019452533837998839
GPATCH2,0.0051254766232919574
RRP15,0.002810300680608606
LYPLAL1,0.00464785800421863
EPRS,0.0004892611628565924
IARS2,0.005542159523992148
RAB3GAP2,0.0050060324417678225
DUSP10,0.0026835823078853824
MIA3,0.00011087320044638415
AIDA,0.0007155046540725297
BROX,0.0008650021508735405
DISP1,0.0003323810813957486
SUSD4,0.010517988222568646
CAPN2,0.0011311487521713502
TP53BP2,0.0011729356858113584
FBXO28,0.0036105735102821552
DEGS1,0.0005162857856562836
NVL,0.002028377952206911
CNIH4,0.0005455087942290401
